Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Мурманск, улица Торцева, д. 14;МБОУ ДОД «Детская школа искусств № 3» г. Мурманска;1;1
г. Мурманск, улица Торцева, д. 1;МБОУ г. Мурманска ВСОШ № 7;2;1
г. Мурманск, улица Нахимова, д. 21;Кинотеатр «Аврора»;3;1
г. Мурманск, улица Лобова, д. 51;МАУ «Городской спортивный центр «Авангард»;4;1
г. Мурманск, улица Сафонова, д. 37;МБОУ г. Мурманска средняя общеобразовательная школа № 38;5;1
г. Мурманск, улица Сафонова, д. 11;МБОУ г. Мурманска средняя общеобразовательная школа № 57;6;1
г. Мурманск, улица Лобова, д. 18;МБОУ г. Мурманска Межшкольный учебный комбинат;7;1
г. Мурманск, проспект Героев-североморцев, д. 76, корп. 3;МБОУ г. Мурманска средняя общеобразовательная школа № 41;8, 9, 10, 11;4
г. Мурманск, улица А. Невского, д. 86;ГООУ СПО «Мурманский строительный колледж им. Н. Е. Момота»;12, 13;2
г. Мурманск, улица Чумбарова-Лучинского, д. 3б;МБОУ г. Мурманска средняя общеобразовательная школа № 18;14, 15, 16;3
г. Мурманск, переулок Казарменный, д. 2;МБОУ ДОД СДЮСШОР № 4;17;1
г. Мурманск, улица Халатина, д. 17;МБОУ г. Мурманска средняя общеобразовательная школа № 45;18, 19, 20;3
г. Мурманск, улица Аскольдовцев, д. 9/22;МБОУ г. Мурманска гимназия № 4;21;1
г. Мурманск, улица Александрова, д. 32, корп. 2;МБОУ г. Мурманска средняя общеобразовательная школа № 5,;22, 23;2
г. Мурманск, улица Ивченко, д. 15;МБОУ г. Мурманска гимназия № 9;24, 25;2
г. Мурманск, улица Гаджиева, д. 6а;МБОУ г. Мурманска средняя общеобразовательная школа № 11;26, 27;2
г. Мурманск, улица Миронова, д. 5;МБОУ г. Мурманска средняя общеобразовательная школа № 44;28, 29, 30;3
г. Мурманск, улица Гагарина, д. 21;МБОУ ДОД г. Мурманска детский морской центр «Океан»;31;1
г. Мурманск, улица Павлика Морозова, д. 3а;МБОУ г. Мурманска основная общеобразовательная школа № 26;32, 33, 34;3
г. Мурманск, проспект Героев-североморцев, д. 9, корп. 3;МБДОУ г. Мурманска детский сад комбинированного вида № 34;35;1
г. Мурманск, улица Туристов, д. 34а;МБОУ г. Мурманска прогимназия № 61;36, 37;2
г. Мурманск, улица Челюскинцев, д. 14;МБОУ г. Мурманска гимназия № 3;38, 39;2
г. Мурманск, улица Карла Либкнехта, д. 18а;МБОУ г. Мурманска средняя общеобразовательная школа № 34;41;1
г. Мурманск, улица Октябрьская, д. 13;Мурманский дом культуры железнодорожников;42;1
г. Мурманск, улица Карла Маркса, д. 13;МБОУ г. Мурманска гимназия № 5;43;1
г. Мурманск, улица Софьи Перовской, д. 3;ГОАУК «Мурманская областная филармония»;44;1
г. Мурманск, улица Пушкинская, д. 3;ГОАУК «Мурманский областной Дворец культуры им. С. М. Кирова»;45;1
г. Мурманск, улица Комсомольская, д. 13;МБОУ г. Мурманска средняя общеобразовательная школа № 36;46;1
г. Мурманск, проспект Ленина, д. 59;МБОУ г. Мурманска гимназия № 2;47, 48;2
г. Мурманск, улица Самойловой, д. 2;МБОУ г. Мурманска лицей № 2;49;1
г. Мурманск, улица Седова, д. 8;МБОУ г. Мурманска средняя общеобразовательная школа № 56;50, 51, 52;3
г. Мурманск, улица Мира, д. 12;МБОУ г. Мурманска средняя общеобразовательная школа № 49;53, 54, 55, 56, 57;5
г. Мурманск, улица Маклакова, д. 39;Муниципальное бюджетное специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья г. Мурманска специальная (коррекционная) общеобразовательная школа № 58;58, 59;2
г. Мурманск, проезд Связи, д. 30;МБОУ г. Мурманска гимназия № 1;60, 61, 62;3
г. Мурманск, улица Папанина, д. 3;МБОУ г. Мурманска средняя общеобразовательная школа № 53;63, 64;2
г. Мурманск, улица Буркова, д. 31;МБОУ г. Мурманска средняя общеобразовательная школа № 1;65, 66, 67;3
г. Мурманск, проезд капитана Тарана, д. 1;МБОУ для детей дошкольного и младшего школьного возраста г. Мурманска прогимназия № 40;68;1
г. Мурманск, улица Книповича, д. 36а;МБОУ г. Мурманска средняя общеобразовательная школа № 43;69, 70, 71;3
г. Мурманск, улица Книповича, д. 48;Управление государственной службы занятости населения Мурманской области ГОБУ Центр занятости населения города Мурманска, каб. 109;72;1
г. Мурманск, улица Книповича, д. 35/2;МБОУ г. Мурманска гимназия № 8;73, 74;2
г. Мурманск, проспект Кирова, д. 36/27;МБОУ г. Мурманска основная общеобразовательная школа № 37;75;1
г. Мурманск, проспект Ленина, д. 16;МБОУ ДОД детская театральная школа г. Мурманска;76, 77;2
г. Мурманск, улица Полярные зори, д. 1;Кооперативный техникум Мурманского облпотребсоюза;78;1
г. Мурманск, улица Гвардейская, д. 14;ГООУСПО «Мурманский технологический колледж сервиса»;79;1
г. Мурманск, улица Чехова, д. 11;МБОУ г. Мурманска средняя общеобразовательная школа № 28;80, 81, 82;3
г. Мурманск, проезд Лыжный, д. 8;МБОУ г. Мурманска средняя общеобразовательная школа № 23;83;1
г. Мурманск, улица Подгорная, д. 80;ГАОУ МО СПО «Мурманский индустриальный лицей»;84;1
г. Мурманск, улица Спортивная, д. 13;ФГБОУВПО «Мурманский государственный технический университет;85;1
г. Мурманск, улица Генералова, д. 1/13;МБУО г. Мурманска «Городской информационно-методический центр работников образования;86;1
г. Мурманск, проспект Кирова, д. 17а;МБОУ ДОД г. Мурманска ДЮСШ № 7;87;1
г. Мурманск, проспект Кирова, д. 36/27;МБОУ г. Мурманска основная общеобразовательная школа № 37;88, 89;2
г. Мурманск, улица Орликовой, д. 35;МБОУ г. Мурманска средняя общеобразовательная школа № 50;90;1
г. Мурманск, улица Орликовой, д. 35;МБОУ г. Мурманска средняя общеобразовательная школа № 50;91, 92;2
г. Мурманск, проспект Кольский, д. 27а;ООО «Рента»;93;1
г. Мурманск, проезд Лыжный, д. 8;МБОУ г. Мурманска средняя общеобразовательная школа № 23;94, 95;2
г. Мурманск, улица Полярный круг, д. 7;МБДОУ г. Мурманска детский сад комбинированного вида № 112;96;1
