Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Мурманск, улица Зои Космодемьянской, д. 13;МБОУ г. Мурманска гимназия № 7;97, 98;2
г. Мурманск, улица Олега Кошевого, д. 12а;МБОУ г. Мурманска средняя общеобразовательная школа № 17;99, 100;2
г. Мурманск, улица Зои Космодемьянской, д. 2а;МБУК «Дом культуры «Первомайский» г. Мурманска»;101;1
г. Мурманск, улица Спартака, д. 11;МБОУ «Кадетская школа города Мурманска»;102, 103;2
г. Мурманск, улица Бочкова, д. 15;МБОУ г. Мурманска средняя общеобразовательная школа № 27;104, 105, 106;3
г. Мурманск, улица Баумана, д. 11;МБОУ г. Мурманска гимназия № 10;107, 108;2
г. Мурманск, улица Баумана, д. 40;МБОУ г. Мурманска средняя общеобразовательная школа № 20;109, 110, 111;3
г. Мурманск, улица Баумана, д. 44;МБОУ ДОД г. Мурманска Первомайский дом детского творчества;112;1
г. Мурманск, улица Беринга, д. 18;МБОУ г. Мурманска гимназия № 6;113, 114, 115;3
г. Мурманск, проезд Ледокольный, д. 23;МБОУ г. Мурманска «Мурманский международный лицей»;116, 117;2
г. Мурманск, переулок Якорный, д. 5;МБОУ г. Мурманска средняя общеобразовательная школа № 13;118, 119;2
г. Мурманск, улица Героев Рыбачьего, д. 15;МБОУ г. Мурманска средняя общеобразовательная школа № 42;120, 121, 122;3
г. Мурманск, улица Копытова, д. 36;МБОУ г. Мурманска средняя общеобразовательная школа № 22;123, 124, 125, 126;4
г. Мурманск, улица Крупской, д. 13;МБОУ г. Мурманска средняя общеобразовательная школа № 33;127, 128;2
г. Мурманск, улица Героев Рыбачьего, д. 58;МБОУ г. Мурманска средняя общеобразовательная школа № 31;129, 130;2
г. Мурманск, улица Крупской, д. 26;МБОУ г. Мурманска средняя общеобразовательная школа № 21;131, 132;2
г. Мурманск, улица Лесная, д. 39;МБУК «Дом культуры «Маяк» г. Мурманска»;133;1
г. Мурманск, улица Прибрежная, д. 1;МБОУ г. Мурманска основная общеобразовательная школа № 6;134;1
г. Мурманск, р-н Росляково, ул. Школьная, 1;МБОУ СОШ № 3;158, 159;2
г. Мурманск, р-н Росляково, ул. Заводская, 1;МБУК ДК «Судоремонтник»;160, 161;2
г. Мурманск, р-н Росляково, ул. Молодежная, 14;МБОУ СОШ № 4;162;1
