Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Апатиты, ул. Кирова, д. 18а;Правление ОАО Агрофирма «Индустрия»;165;1
г. Апатиты, ул. Жемчужная, д. 38;Школа № 4;166;1
г. Апатиты, ул. Зиновьева, д. 5а;Общежитие Кольского медицинского колледжа;167;1
г. Апатиты, ул. Ферсмана, д. 40а;Школа № 5;168;1
г. Апатиты, ул. Ферсмана, д. 24;Горный институт КНЦ РАН;169;1
г. Апатиты, ул. Бредова, д. 2а;Школа № 14;170, 172;2
г. Апатиты, ул. Зиновьева, д. 5а;Кольский медицинский колледж;171;1
г. Апатиты, ул. Космонавтов, д. 19;филиал Гимназии №1 (бывшая школа №2);173, 177;2
г. Апатиты, ул. Дзержинского, д. 34;Школа № 15;174, 185;2
г. Апатиты, ул. Ферсмана, д. 14;Геологический институт КНЦ РАН;175;1
г. Апатиты, ул. Зиновьева, д. 18;Дом спорта «НАУКА»;176;1
г. Апатиты, ул. Строителей, д. 97;Школа № 10;178;1
г. Апатиты, ул. Бредова, д. 27а;Школа № 3;179, 180;2
г. Апатиты, ул. Ленина, д. 24;АГДК им. Егорова В. К.;181;1
г. Апатиты, ул. Ленина, д. 11;Гимназия № 1;182;1
г. Апатиты, ул. Ленина, д. 19а;Школа № 6;183;1
г. Апатиты, ул. Строителей, д. 97;Школа № 10;184;1
г. Апатиты, пр. Сидоренко, д. 22а;Школа № 7;186, 187;2
