Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Заозерск, ул.Колышкина, д.16;МОУ СОШ №288;291;1
г.Заозерск, ул.Ленинского Комсомола, д.16;ФГУ «Дом офицеров Заозерского гарнизона»;292;1
г.Заозерск, пер.Школьный,  д.6;МОУ СОШ №289 здание №2;293;1
г.Заозерск, улица  Мира,  дом 5А;МОУ СОШ №289;294, 295;2
