Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Мончегорск, ул. 3-я Нагорная, 42;профессиональный лицей;188;1
г. Мончегорск, ул. Кондрикова, 30;средняя общеобразовательная школа № 7;189;1
г. Мончегорск, ул. Кондрикова, 8;дошкольное общеобразовательное учреждение № 24;190;1
г. Мончегорск, ул. Лесная, 10;Библиотека-филиал № 9;191;1
г. Мончегорск, ул. Бредова, 23;"МКУ ""Управление по делам ГО и защите населения от ЧС города Мончегорска""";192;1
г. Мончегорск, ул. Бредова, 1;Гимназия № 1;193;1
г. Мончегорск, ул. Комсомольская, 31/16;лицей имени В. Г. Сизова;194;1
г. Мончегорск, пр. Металлургов, 39а;"МБУ""Мончегорский городской центр культуры"", Выставочный зал.";195;1
г. Мончегорск, ул. Ферсмана, 7;"ЦРТД и Ю ""Полярис""";196;1
г. Мончегорск, ул. Котульского, 1;средняя общеобразовательная школа N 1;197;1
г. Мончегорск, пр. Кирова, 17;средняя общеобразовательная школа N 5;198;1
г. Мончегорск, Ленинградская набережная, 34/3;Детский юношеский клуб;199;1
г. Мончегорск, Ленинградская набережная , 34/4;дошкольное общеобразовательное учреждение № 18;200;1
г. Мончегорск, пр. Кирова, 7;"ФГБОУ СПО ""СКФКиС""";201;1
г. Мончегорск, пр. Металлургов, 30;Городской центр культуры;202;1
г. Мончегорск, ул. Комсомольская, 23а;Центральная геологоразведочная экспедиция;203;1
г. Мончегорск, ул. Новопроложенная, 7;вечерняя средняя общеобразовательная школа № 2;204;1
г. Мончегорск, ул. Комсомольская, 24;средняя общеобразовательная школа № 14;205;1
г. Мончегорск, пр. Металлургов, 1;политехнический колледж;206;1
г. Мончегорск, Строительный проезд, 1;Детская школа искусств им. В. И. Воробья;207;1
г. Мончегорск, ул. Строительная, 3;средняя общеобразовательная школа № 14;208;1
г. Мончегорск, ул. Царевского, 4а;средняя общеобразовательная школа № 8;209;1
г. Мончегорск, ул. Октябрьская, 14а;средняя общеобразовательная школа № 10;210;1
г. Мончегорск, 25 км железной дороги Мончегорск-Оленья;Сельский клуб нп 25км;211;1
