Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
Ловозерский район, п. Ревда, ул. Победы, д. 16а;МБОУ дополнительного образования детей «Центр детского творчества»;400;1
Ловозерский район, п. Ревда, ул. Металлургов, д. 5;МБУ «Культурно-спортивный центр»;401;1
Ловозерский район, п. Ревда, ул. Металлургов, д. 6;МБОУ «Ревдская средняя общеобразовательная школа им. В. С. Воронина»;402;1
Ловозерский район, с. Ловозеро, ул. Советская, д. 30;МБУ «Ловозерский центр развития досуга и культуры»;403;1
Ловозерский район, с. Краснощелье, ул. Лесная, д. 1;МБОУ «Краснощельская средняя общеобразовательная школа»;404;1
Ловозерский район, с. Каневка;здание администрации сельского поселения Ловозеро;405;1
Ловозерский район, с. Сосновка;здание администрации сельского поселения Ловозеро;406;1
