Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
п. Видяево, ул.Заречная, д.60;МОУ СОШ ЗАТО Видяево корп.1;296, 297;2
п. Видяево, ул.Заречная, д.60;МОУ СОШ ЗАТО Видяево корп.2;298;1
