Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
с.Чаваньга, д.60;СПК РК «Беломорский рыбак»;480;1
с.Варзуга, ул.Успенская, д.75;МОУ СОШ с.Варзуга;481;1
п.г.т.Умба, ул.Совхозная, д.12а;филиал МУ ДК ГП Умба  Клуб «Гармония»;482;1
п.г.т.Умба, ул. Приморская, д.43;МОУ для детей дошкольного и младшего школьного возраста  начальная школа-детский сад №1;483;1
п.г.т.Умба, ул. Кирова, д.15;зал заседаний  администрации ГП Умба;484;1
п.г.т.Умба, ул.Беломорская, д.1в;МОУ СОШ  № 4, корпус 2;485, 486;2
п.г.т.Умба, ул.Беломорская,д.1а;малый зал МУ Дом культуры ГП Умба;487;1
