Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Мурманск, переулок Якорный, д.5;МОУ СОШ №13;131, 132;2
г.Мурманск, ул. Героев Рыбачьего, д. 15;МОУ СОШ №42;133, 139, 140;3
г.Мурманск, улица Лобова, дом № 47;МУК «Дом культуры Ленинского округа города Мурманска»;134;1
г.Мурманск, ул. Баумана, д. 40;МОУ СОШ №20;135, 136;2
г.Мурманск, ул. Баумана, д. 39;Мурманская областная специальная общеобразовательная школа-интернат № 3;137;1
г.Мурманск, ул. Баумана, д. 44;МОУ ДОД г. Мурманска «Первомайский дом детского творчества»;138;1
г.Мурманск, ул. Капитана Копытова, д. 36;МОУ СОШ №22;141, 142, 143, 144;4
г.Мурманск, ул. Крупской, д. 13;МОУ СОШ №33;145, 146;2
г.Мурманск, ул. Героев Рыбачьего, д. 58;МОУ СОШ №31;147, 148;2
г.Мурманск, ул. Крупской, д. 26;МОУ СОШ №21;149, 150;2
г.Мурманск, ул. Прибрежная, д. 2;МОУ СОШ №6;151;1
