Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Полярные Зори, ул.Пушкина,18;ДШИ;409;1
г.Полярные Зори, ул.Сивко, 5;ГДК;410, 411;2
г.Полярные Зори, ул.Белова,7а;МОУ СОШ №3;412, 413;2
г.Полярные Зори, Ул.Курчатова, 25;МОУ СОШ №4;414, 415;2
г.Полярные Зори, Ул.Партизан Заполярья,  5а;МОУ гимназия №1;416, 417;2
н.п.Зашеек, Ул. Северная аллея, 8;библиотека;418;1
н.п.Африканда-1, Ул. Кирова, д. 2;;419;1
н.п.Африканда-2, ул. Советская, 8 ;Дом культуры;420;1
