Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Заозерск, ул.Колышкина, д.16;МОУ СОШ №288;180;1
г.Заозерск, ул.Ленинского Комсомола, д.16;ФГУ «Дом офицеров Заозерского гарнизона»;181;1
г.Заозерск, пер.Школьный,  д.6;МОУ СОШ №289 здание №2;182;1
г.Заозерск, улица  Мира,  дом 5А;МОУ СОШ №289;183, 184;2
