Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Ковдор, ул. Чехова, д. 8;МОУ СОШ №2;249, 250;2
г.Ковдор, ул. Комсомольская, д. 15;МОУ СОШ №3;251;1
г.Ковдор, ул. Комсомольская, д. 14;ГООУ СПО «Ковдорский политехнический колледж»;252;1
н.п.Лейпи;управление МУСП «Агрокомплекс «Ковдорский»;253;1
г.Ковдор, ул. Кирова, д. 24а;МОУ ДОД Детско-юношеская спортивная школа;254;1
г.Ковдор, ул. Школьная, д. 2;МУК «Городской дворец культуры»;255;1
г.Ковдор, ул. Комсомольская, д. 6а;МОУ СОШ №1;256, 257;2
н.п.Куропта;МУК «Сельский дом культуры»;258;1
с.Ена;МУК  «Сельский дом культуры»;259;1
н.п.Енский;МОУ ДОД «Ёнская детская музыкальная школа»;260;1
н.п.Риколатва;ЖЭУ МУП ЖКХ «Ёнский» ;261;1
