Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Кола, пр.Защ. Заполярья, д.7;"МУК ""Кольский районный Центр культуры""";265;1
г.Кола, ул.Победы, д.7;МОУ  дополнительного образования детей Кольский районный Дом детского творчества;266;1
"г.Кола, проспект Советский,  д.41""а""";МОУ Кольская общеобразовательная школа №2;267;1
г.Кола, ул.Приморская, д.2;МОУ  Кольская основная общеобразовательная школа №3;268;1
п.г.т.Мурмаши, ул.Энергетиков, д.19;МОУ Мурмашинская средняя общеобразовательная школа №3;269;1
п.г.т.Мурмаши, ул.Советская, д.18;МОУ Мурмашинская средняя общеобразовательная школа №1;270;1
п.г.т. Мурмаши,   ул. Цесарского, д.9;Муниципальное помещение ;271;1
п.г.т.Мурмаши, ул. Гвардейская, д.6;"МОУ ДОД ""Детско-юношеский центр""";272;1
п.г.т.Мурмаши, ул.Причальная, д.30;МОУ Причальненская начальная общеобразовательная школа;273;1
"п.г.т.Молочный, ул.Торговая, д.8 ""а""";"МОУ Молочненская средняя общеобразовательная школа""";274;1
"п.г.т.Молочный,  ул.Торговая, д.1 ""а""";"МУК городской Дом культуры ""Гармония""";275;1
н.п.Зверосовхоз, ул.Зелёная, д.14;"МУК ""Зверосовхозский сельский Дом культуры""";276;1
пгт Кильдинстрой, ул.Советская, д.2;"МУК ""Кильдинский городской Дом культуры""";277;1
г.Кола, пер.Островского, д.13;Государственное областное образовательное учреждение НПО ПУ №2;278;1
н.п. Шонгуй, ул.Комсомольская, д.5;"МУК ""Шонгуйский сельский Дом  культуры""";278;1
ж.-д.ст.Магнетиты, ул.Набережная, д.14;МОУ дополнительного образования детей детский (подростковый) клуб;279;1
с.Тулома, ул.Мира, д.6;"МУК ""Туломский сельский Дом культуры""";280;1
ж.-д.ст. Пяйве, д. 30, кв.23;Муниципальная квартира;281;1
"п.г.т.Мурмаши, ул.Тягунова, д.1 ""а""";МДОУ детский сад №19 п.Мурмаши;281;1
п.г.т.Верхнетуломский, ул.Дружбы, д.20;"МУК  ""Верхнетуломский Дом культуры ""Дружба""";282;1
"п.Мурмаши, ул.Цесарского, д.2 ""а"" ";МДОУ детский сад №10;282;1
н.п.Пушной, ул. Центральная, д.14;"МУК ""Пушновский сельский Дом культуры""";283;1
н.п.Песчанный, ул.Ткачева, д.1, кв.4;Муниципальная квартира;284;1
"ж-д.ст. Лопарская, д.16 ""б""";"МУК ""Лопарский сельский Дом культуры""";285;1
с. Минькино, дом 135;"Государственное областное образовательное Учреждение ""Минькинская специальная (коррекционная) школа-интернат 5 вида""";286;1
"н.п.Междуречье, ул.Строительная, д.5 ""а""";МОУ Междуреченская средняя общеобразовательная школа;287;1
н.п. Мишуково, ул. Почтовая, д. 19;Муниципальное помещение администрации с.п. Междуречье,;288;1
н.п.Килпъявр, ул.Небольсина, д.12;МОУ Килпъяврская средняя общеобразовательная школа имени А.С. Хлобыстова;289;1
с.Ура-Губа, ул.Рыбацкая, д.35;МОУ Урагубская средняя общеобразовательная школа;290;1
"п.Туманный, ул.Энергетиков, д.2 ""а""";Администрация МО;291;1
с.Териберка, ул. 1-ая пятилетка, д.14;МУК Териберский Дом культуры;292;1
с.Териберка, ул. Школьная, д.5б;МОУ Лодейненская общеобразовательная средняя школа;293;1
;;;
