Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Кандалакша, ул. Беломорская, 19;ООО «Кандалакшский морской торговый порт»;186;1
г.Кандалакша, ул. Восточная, 7;МОУ ДОД «Специализированная детско-юношеская спортивная школа олимпийского резерва по натурбану»;187;1
г.Кандалакша, ул. Первомайская, 9;Курсы гражданской обороны МУ «Кандалакшское управление по делам ГО и ЧС»;188;1
г.Кандалакша, ул. Первомайская, 32;МБУ «ГКЦ «Нива»;189;1
г.Кандалакша, ул. Аэронавтов, 4а;МОУ Средняя общеобразовательная школа № 10;190;1
г.Кандалакша, ул. Комсомольская, 10;МОУ ДОД детско-юношеский центр «Ровесник»;191;1
г.Кандалакша, ул. Набережная, 151;МОУ ДОД НТШ «Центр детского творчества «Вега»;192;1
г.Кандалакша, ул. Первомайская, 67;МОУ «Средняя общеобразовательная школа № 1»;193, 194;2
г. Кандалакша, ул. Пронина, 22а;ГУ «Центр занятости населения города Кандалакша»;195;1
г.Кандалакша, ул. Новая, 1;МОУ «Средняя общеобразовательная школа № 19»;196, 197;2
г.Кандалакша, ул. Спекова, 7;ГООУ НПО ПУ № 24;198, 199;2
г.Кандалакша, ул. Спекова, 15;МОУ «Средняя общеобразовательная школа № 2»;200, 201;2
г. Кандалакша, ул. Спекова, 50;ГООУ НПО ПУ № 24;202;1
г. Кандалакша, ул. Кировская аллея, 1а;МБУ «ГКЦ «Нива»;203;1
г.Кандалакша, ул. 2-я Парковая, 11;МОУ «Основная общеобразовательная школа № 5 имени А.И. Деревянчука»;204;1
г.Кандалакша, ул. Высокая, 2;МОУ, средняя общеобразовательная школа № 9 города Кандалакша;205;1
г.Кандалакша, ул. Наймушина, 21;ГОСУСОССОН «Кандалакшский Дом-интернат для престарелых и инвалидов»;206;1
г.Кандалакша, ул. Чкалова, 37;ГОУ СОССЗН «Кандалакшский комплексный центр социального обслуживания населения»;207;1
н.п. Лесозаводский, ул. 3-я Линия,3;Школа ремесел;208;1
н.п. Белое море, 6;Беломорский СДК;209;1
с. Лувеньга, ул. Молодежная, 11;МОУ средняя общеобразовательная школа № 20;210;1
н.п. Нивский, ул. Букина, 1;Нивский СДК;211;1
Лупче-Савино-1;Клуб «Лупче-Савино-1»;212;1
;Мобильный пункт;213;1
н.п. Зареченск, ул. Кумская, 2;Клубное учреждение СДК «Космос»;214;1
с. Ковдозеро, ул. Первомайская;Филиал СДК «Космос»;215;1
п.г.т. Зеленоборский, ул. Озерная, 27а ;МБУК Зеленоборский ЦДК;216, 217;2
п.г.т. Зеленоборский, ул. Энергетическая, 24а;МОУ «Средняя общеобразовательная школа № 6»;218;1
п.г.т. Зеленоборский, ул. Школьная, 1а;МБУК ДК «Восток»;219;1
н.п. Лесозаводский, ул. Центральная, 11а;МБУКЛСДК «Дружба»;220;1
с. Алакуртти, ул. Содружества, 1;МОУ «Средняя общеобразовательная школа № 3 села Алакуртти»;221;1
с. Алакуртти, ул. Набережная, 37;МБУ «Центр культуры, молодежи и спорта им. А.Ю.Кириллина»;222, 223;2
с. Алакуртти, ул. Нижняя Набережная, 4;МДОУ «Детский сад № 55 общеразвивающего вида с приоритетным осуществлением художественного развития воспитанников»;224;1
