Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Оленегорск, ул.Мира, дом № 38-а ;"ДК ""Олкон""";342, 343;2
г.Оленегорск, ул. Строительная, дом № 22;МОУ СОШ №22;345;1
г.Оленегорск, ул. Мира, дом № 48;МОУ СОШ №4 корпус 2;346;1
г.Оленегорск, ул. Парковая, дом № 26;МОУ СОШ №21;347, 348;2
г.Оленегорск, Ленинградский проспект, дом № 5;"Центр Культуры и досуга ""Полярная звезда""";349;1
г.Оленегорск, ул. Южная, дом № 11-а;МОУ СОШ №4;350, 351;2
г.Оленегорск, ул. Строительная, дом № 61;;352;1
г.Оленегорск, ул. Энергетиков, дом № 3;ПОУ Оленегорский СТЦ РО ДОСААФ России МО;353;1
н.п. Высокий, ул. Сыромятникова, дом № 13-а;МОУ СОШ №13;354, 355;2
село Имандра, дом № 48;;356;1
ждс Лапландия, ул. Заводская, дом № 20;;357;1
н.п. Высокий, ул. Дальняя, дом № 4;;358;1
г.Оленегорск-2, ул. Ленинградская, дом № 10-а;;359;1
город Оленегорск-1, ул. Озерная, Гарнизонный дом офицеров  ;;360;1
