Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Островной, улица Североморская, д. 1 «б»;МУК «ГДК ЗАТО г. Островной»;361;1
г.Островной, улица Бессонова, д. 2;МОУДОД  Дом детского творчества;362;1
