Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Полярный, ул. Героев Североморцев ,3;"""ВСОШ""";396;1
г. Полярный, ул. Котельникова ,6 ;МОУ «ООШ № 1» ;397;1
г. Полярный, ул. Гаджиева,3;"ГЦК ""Север""";398;1
г. Полярный, ул. Душенова ,4 ;"МОУ ""ДОД ДДТ""";399;1
г. Полярный, ул. Красный Горн, 6;МОУ « Гимназия»;400, 401;2
г. Полярный, ул. Гагарина,1;МОУ « ООШ № 2»;402;1
г. Полярный,  ул.Лунина,6;Детская школа искусств;403;1
с. Белокаменка;Детский сад;407;1
г.Гаджиево, ул.Гаджиева ,дом 33/1;МОУ СОШ №276;460;1
г.Гаджиево, ул.Гаджиева ,д.40;МУК « Центр творчества и досуга»;461;1
г. Гаджиево, ул. Советская, дом 74/2;МБОУ ДОД «ДДТ»;462;1
г. Гаджиево, ул. Колышкина,д.114-А;МУК « ДОД «ДМШ»;463;1
г. Гаджиево, ул. Душенова, д.90-А;МОУ «НОШ № 279»;464;1
н.п. Оленья Губа, ул. Строителей ,д.26/1;МОУ «МСОШ № 280»,;467;1
г.Снежногорск, ул. П. Стеблина,5;ЦГиПВМ « Роза ветров»;468;1
г. Снежногорск, ул.Флотская ,10;МОУ «ВСОШ №267»;469;1
г. Снежногорск, ул. Бирюкова,21;МОУ « СОШ №266»;470;1
г. Снежногорск, ул. Октябрьская ,д.12;Центр дополнительного образования;471;1
г. Снежногорск, ул. П.Стеблина,д.19;МОУ «МСОШ № 269»;472;1
г. Снежногорск, ул. Мира ,д.3;ДК «Современник»;473;1
г. Снежногорск, ул. Скальная,д.5;филиал МОУ «СОШ- №269»;474;1
