Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
пгт Никель, пр.Гвардейский, д.21;МОУ СОШ №1;363;1
пгт Никель, ул.Сидоровича, д.13;Музыкальная школа №1;364;1
пгт Никель, ул.Октябрьская, д.1;"ДК ""Восход""";365;1
пгт Никель, ул.Бредова, д.2;МОУ СОШ №3;366;1
пгт Никель, ул.Печенгская, д.1а;Художественная школа;367;1
пгт Никель, пр.Гвардейский, д.33;Библиотека;368;1
пгт Никель, ул.Сидоровича, д.16;Общежитие;369;1
пгт Никель, ул.Спортивная, д.13;МОУ СОШ №20;370;1
н.п.Борисоглебский;Клуб;371;1
п.Раякоски;Сельский Дом культуры;372;1
пгт Приречный;Представительство администрации городского поселения Никель;373;1
г.Заполярный, ул.Ленина, д.4;Музыкальная школа;374;1
г.Заполярный, ул.Ленинградская, д.4а;Отдел кадров администрирования ОАО КГМК;375;1
г.Заполярный, ул.Стрельцова, д.1а;"ДК ""Октябрь""";376;1
г.Заполярный, ул.Мира, д.2а;МОУ СОШ №4;377;1
г.Заполярный, ул.Космонавтов, д.6а;МОУ СОШ №9;378;1
г.Заполярный, ул.Крупской, д.2а;МОУ СОШ №19;379, 380;2
г.Заполярный, ул.Сафонова, д.9а;МОУ СОШ №22;381;1
г.Заполярный, ул.Юбилейная, д.14;КЮТ;382, 383;2
ст.Печенга, д.2;жилой корпус №123;384;1
пгт Печенга;Дом офицеров;385;1
пос.Спутник, ул.Новая, д.16;Помещение офицерского собрания ;386;1
н.п.Лиианахамари;МОУ СОШ №23;387;1
н.п.Луостари 1;Клуб;388;1
н.п.Луостари 2;Здание военторга;389;1
н.п.Корзуново;филиал МОУ СОШ №7;390;1
