Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
с.Ловозеро, ул.Советская, д.30;МУ «Ловозерский центр развития досуга и культуры»;305;1
с.Краснощелье, ул.Лесная, д.1;МОУ Краснощельская СОШ;306;1
с.Каневка;здание администрации сельского поселения Ловозеро;307;1
с.Сосновка;здание администрации сельского поселения Ловозеро;308;1
п.Ревда, ул.Победы, д.16а;муниципального образовательного учреждения дополнительного образования детей центр детского творчества;309;1
п.Ревда, ул.Металлургов, д.5;муниципального учреждения «Культурно-спортивный центр»;310;1
п.Ревда, ул.Металлургов, д.6;МОУ Ревдская СОШ № 1 им.В.С.Воронина;311;1
