Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г. Полярные зори, ул. Партизан Заполярья, 5а;Гимназия № 1;279, 280;2
г. Полярные зори, ул. Сивко, 5;ГДК;281, 282;2
г. Полярные зори, ул. Курчатова, 25;Шк. № 4;283, 284;2
г. Полярные зори, ул. Белова, д. 7а;Шк. № 3;285, 286;2
г. Полярные зори, ул. Пушкина, 18;ДШИ;287;1
г. Полярные зори, ул. Северная аллея, 8;НП Зашеек;288;1
г. Полярные зори, Африканда-1, ул. Кирова, 2;;289;1
г. Полярные зори, Африканда-2, ул. Советская, 8;ДК;290;1
