Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
Терский район, пгт Умба, ул. Совхозная, д. 12а;филиал №1 МБУ Дом культуры ГП Умба Клуб «Гармония»;407;1
Терский район, пгт Умба, ул. Кирова, д. 15;зал заседаний администрации городского поселения Умба;408;1
Терский район, пгт Умба, ул. Беломорская, 1а;МБУ Дом культуры ГП Умба;409, 410;2
Терский район, с. Варзуга, ул. Никольская, д. 15;МБУ СДК с. п. Варзуга;411;1
